id,text,category,urgency,sentiment,notes
1,"Mit der app bin ich insgesamt zufrieden, was aber gar nicht geht ist dass es keinen apple sign in gibt, das hab ich jetzt schon fünfmal geschrieben und nie wird es geändert, ich hab vom support immer noch keine antwort, löst das endlich. Wer hat in 2026 nur Sign in with google",feature-request,low,negative,
2,"abo wechsel fehlt geld. von normal auf pro keine geld zurück (anteil!!)",billing,high,negative,
3,"Ich kann seit 3 Tagen den Tracker nicht nutzen weil der passwort reset mir keine email schickt.",account,high,negative,
4,"timer läuft nicht weiter wenn ich das handy sperre. iphone 15, ios 18.2. sehr nervig beim lernen",,,,
5,"Sehr geehrtes Team, ich würde gerne wissen, ob eine Integration mit Google Calendar geplant ist. Für meine Wochenplanung wäre das enorm hilfreich. Mit freundlichen Grüßen, T. Weber",,,,
6,"doppelt abgebucht diesen monat!! 6,99 zweimal. bitte sofort erstatten",,,,
7,"App stürzt seit dem letzten Update direkt beim Start ab. Android 14, Pixel 7. Habe schon deinstalliert und neu installiert, bringt nichts.",,,,
8,"wie archiviere ich ein habit ohne es zu löschen? finde die option nirgends",,,,
9,"Ihr seid super, der Fokus-Timer hat mir echt geholfen mein Studium zu strukturieren. Danke dafür!",,,,
10,"Ich habe mein Abo im App Store gekündigt, aber in der App steht immer noch Pro aktiv bis 2027. Was gilt denn jetzt?",,,,
11,"keine sync zwischen web und android. auf dem laptop sind 5 habits, auf dem handy nur 3.",,,,
12,"bitte 2FA einbauen. ist 2026 echt standard.",,,,
13,"Hallo, ich benötige für die letzten 6 Monate Rechnungen mit meiner Firmenanschrift und USt-IdNr. Können Sie mir diese zusenden?",,,,
14,"Fremder Login aus Vietnam in meinem Konto, ich hab eine mail von euch bekommen. Was soll ich jetzt tun?? da sind meine ganzen daten drin",,,,
15,"warum nur 3 habits im free tier? andere apps machen 5. bisschen geizig",,,,
16,"Streak ist weg obwohl ich gestern abgehakt habe. Meine Zeitzone ist UTC+1, vielleicht liegt es daran?",,,,
17,"Bitte ein Widget für Android, auf iOS gibt es das ja schon seit ewigkeiten.",,,,
18,"Kann ich meine Daten als CSV exportieren? Ich brauche das für meine Therapie-Dokumentation.",,,,
19,"unsubscribe",,,,
20,"Die Benachrichtigungen kommen nicht mehr an, seit ich auf iOS 19 bin. In den Systemeinstellungen ist alles erlaubt.",,,,
21,"Guten Tag, ich möchte mein Konto und alle damit verbundenen Daten gemäß Art. 17 DSGVO vollständig löschen lassen. Bitte bestätigen Sie mir die Löschung schriftlich innerhalb der gesetzlichen Frist.",,,,
22,"kann man den timer auch auf 90 min stellen? 25 min pomodoro ist mir zu kurz",,,,
23,"Hab von monatlich auf jährlich gewechselt und wurde sofort voll belastet, obwohl der laufende Monat schon bezahlt war. Bitte prüfen.",,,,
24,"app ist müll",,,,
25,"Ich melde mich mit Google an, hatte früher aber ein Konto mit derselben Mail per Passwort. Jetzt sehe ich zwei unterschiedliche Habit-Listen. Wie führe ich die zusammen?",,,,
26,"Gibt es Rabatte für Studierende oder Bildungseinrichtungen? Wir sind eine Schule mit ca. 300 Schülern.",,,,
27,"seit dem update sind ALLE meine daten weg. 8 monate tracking. ich bin fassungslos. bitte sagt mir dass ihr backups habt",,,,
28,"Dark Mode: die Schrift im Statistik-Screen ist grau auf dunkelgrau, kaum lesbar.",,,,
29,"Hey, wann kommt eigentlich die Apple Watch App? Steht seit über einem Jahr auf eurer Roadmap.",,,,
30,"zahlung fehlgeschlagen steht da, die karte ist aber gedeckt. visa endet auf 4417",,,,
31,"kurze frage: zählt der fokus timer weiter wenn ich die app schließe?",,,,
32,"Ich möchte meine E-Mail-Adresse ändern, finde in den Einstellungen aber keine Möglichkeit dazu.",,,,
33,"Bitte eine Integration mit Todoist oder Notion. Ich pflege sonst alles doppelt.",,,,
34,"Web-App lädt in Firefox ewig, in Chrome geht es sofort. Firefox 134 unter Windows 11.",,,,
35,"Ihr habt die Preise erhöht ohne mich vorher zu informieren. Das ist so nicht in Ordnung, ich erwarte eine Erklärung.",,,,
36,"habits werden seit heute morgen doppelt angezeigt",,,,
37,"Hallo liebes FocusFlow-Team, ich schreibe im Namen der Redaktion des Produktiv-Magazins. Wir würden gerne ein Interview über euren Ansatz beim Habit-Tracking führen. Wer wäre der richtige Ansprechpartner?",,,,
38,"offline modus wäre toll, ich pendle täglich durch ein funkloch",,,,
39,"Ich habe versehentlich das falsche Abo gekauft (jährlich statt monatlich), vor ca. 2 Stunden. Kann ich das noch stornieren?",,,,
40,"passwort funktioniert nicht mehr obwohl ich es gerade erst neu gesetzt habe. drei mal probiert, immer falsch",,,,
41,"Wie viele Geräte kann ich mit einem Pro-Abo gleichzeitig nutzen?",,,,
42,"Der Timer klingelt zweimal, einmal nach 25 Minuten und dann nochmal ca. eine Minute später. Kleinigkeit, aber es stört.",,,,
43,"SUPER APP!!! nur der preis ist zu hoch für das was sie kann",,,,
44,"Ich nutze FocusFlow mit VoiceOver. Die Buttons im Timer-Screen haben keine Labels, ich weiß nicht was ich drücke.",,,,
45,"streak freeze funktion wie bei duolingo bitte",,,,
46,"Moin, ein Kollege hat mir eure App empfohlen. Gibt es Team- oder Firmenlizenzen? Wir wären ca. 40 Leute.",,,,
47,"Erstattung bitte. Habe Pro gekauft, aber die Habits bleiben bei 3 begrenzt, also funktioniert es nicht.",,,,
